n.uniprot,n.name,n.description,n.match_community,n.normal_community,n.primary_community,n.match_degree,n.normal_degree,n.primary_degree,n.pagerank_match,n.pagerank_normal,n.pagerank_primary
O95167,NDUFA3,NADH:ubiquinone oxidoreductase subunit A3 [Source:HGNC Symbol;Acc:HGNC:7686],0,0,0,325,295,81,3.945998000000001,3.4148160000000005,2.7779195000000003
Q5BKU9,OXLD1,oxidoreductase like domain containing 1 [Source:HGNC Symbol;Acc:HGNC:27901],0,0,0,213,103,77,2.9516085000000003,1.7855699999999999,3.464991500000001
P36404,ARL2,ADP ribosylation factor like GTPase 2 [Source:HGNC Symbol;Acc:HGNC:693],0,0,null,44,190,0,0.6625245,2.343204000000001,0.15000000000000002
Q9NWT8,AURKAIP1,aurora kinase A interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:24114],0,0,0,430,257,63,4.835692999999999,3.2901635000000002,2.7968320000000007
Q8WY36,BBX,BBX high mobility group box domain containing [Source:HGNC Symbol;Acc:HGNC:14422],1,1,1,372,120,144,4.083332499999999,1.9920095,3.3624475
O00217,NDUFS8,NADH:ubiquinone oxidoreductase core subunit S8 [Source:HGNC Symbol;Acc:HGNC:7715],0,0,0,353,352,52,4.069503,4.217666500000001,1.5339445000000003
Q9UL15,BAG5,BCL2 associated athanogene 5 [Source:HGNC Symbol;Acc:HGNC:941],0,1,null,99,63,0,1.2937090000000004,1.6683465000000002,0.15000000000000002
Q9BRQ3,NUDT22,nudix hydrolase 22 [Source:HGNC Symbol;Acc:HGNC:28189],0,0,null,38,27,0,0.5725095000000001,0.4896175,0.15000000000000002
Q9NP97,DYNLRB1,dynein light chain roadblock-type 1 [Source:HGNC Symbol;Acc:HGNC:15468],0,0,0,250,301,62,3.106045,3.592593499999999,2.231956
Q99871,HAUS7,HAUS augmin like complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:32979],0,null,null,19,0,0,0.7051179999999999,0.15000000000000002,0.15000000000000002
Q86T24,ZBTB33,zinc finger and BTB domain containing 33 [Source:HGNC Symbol;Acc:HGNC:16682],1,1,null,37,40,0,0.6333610000000001,1.2075445000000002,0.15000000000000002
P52435,POLR2J,RNA polymerase II subunit J [Source:HGNC Symbol;Acc:HGNC:9197],0,0,0,418,331,124,4.704121500000001,4.154299,4.2721089999999995
Q9BRA0,NAA38,"N(alpha)-acetyltransferase 38, NatC auxiliary subunit [Source:HGNC Symbol;Acc:HGNC:28212]",0,0,0,260,349,92,3.2137994999999995,4.026408,3.3387664999999993
P56134,ATP5MF,ATP synthase membrane subunit f [Source:HGNC Symbol;Acc:HGNC:848],0,0,0,233,198,38,2.9048755000000006,2.2986044999999993,1.4125305
Q9P0J0,NDUFA13,NADH:ubiquinone oxidoreductase subunit A13 [Source:HGNC Symbol;Acc:HGNC:17194],0,0,0,315,330,95,3.5391965,3.8668459999999993,3.239087
Q9UBI6,GNG12,G protein subunit gamma 12 [Source:HGNC Symbol;Acc:HGNC:19663],0,1,1,16,12,6,0.35001350000000003,0.5251729999999998,0.48856350000000004
Q9BVT8,TMUB1,transmembrane and ubiquitin like domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21709],0,0,0,37,102,13,0.6419545000000002,1.6020634999999999,0.822945
Q8NB15,ZNF511,zinc finger protein 511 [Source:HGNC Symbol;Acc:HGNC:28445],0,0,0,93,253,28,1.3934819999999997,3.0690785000000007,1.553605
Q9P2B7,CFAP97,cilia and flagella associated protein 97 [Source:HGNC Symbol;Acc:HGNC:29276],1,1,1,102,211,32,1.4038179999999998,3.8415245,1.1156085000000002
Q8N573,OXR1,oxidation resistance 1 [Source:HGNC Symbol;Acc:HGNC:15822],0,1,0,15,28,2,0.33201899999999995,0.7702874999999997,0.32349350000000004
Q86YT6,MIB1,mindbomb E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:21086],1,1,1,187,110,52,2.1983980000000005,2.300423500000001,1.5062090000000001
Q9C0D3,ZYG11B,"zyg-11 family member B, cell cycle regulator [Source:HGNC Symbol;Acc:HGNC:25820]",0,1,1,38,55,1,0.6948245000000003,1.5590279999999999,0.1745565
Q15653,NFKBIB,NFKB inhibitor beta [Source:HGNC Symbol;Acc:HGNC:7798],0,0,0,47,24,1,0.7890214999999999,0.5047219999999999,0.21420899999999998
O43257,ZNHIT1,zinc finger HIT-type containing 1 [Source:HGNC Symbol;Acc:HGNC:21688],0,0,0,392,358,127,5.152334999999999,4.376506000000001,5.3502065
Q9NZN5,ARHGEF12,Rho guanine nucleotide exchange factor 12 [Source:HGNC Symbol;Acc:HGNC:14193],1,1,1,255,167,56,3.116959000000001,3.4751320000000008,1.6343974999999997
Q16186,ADRM1,adhesion regulating molecule 1 [Source:HGNC Symbol;Acc:HGNC:15759],0,0,0,57,85,3,0.8036075,1.4904584999999995,0.29304649999999993
Q567V2,MPV17L2,MPV17 mitochondrial inner membrane protein like 2 [Source:HGNC Symbol;Acc:HGNC:28177],0,0,null,29,20,0,0.4754395,0.5774734999999999,0.15000000000000002
